Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,CADCNY=X,CADEUR=X,CADUSD=X,CADCNY=X,CADEUR=X,CADUSD=X,CADCNY=X,CADEUR=X,CADUSD=X,CADCNY=X,CADEUR=X,CADUSD=X,CADCNY=X,CADEUR=X,CADUSD=X
Date,,,,,,,,,,,,,,,
2020-01-01,5.339828968048096,0.6860529780387878,0.7691124677658081,5.371152877807617,0.6905999779701233,0.7740357518196106,5.339828968048096,0.6848660111427307,0.768580436706543,5.339828968048096,0.6860529780387878,0.7691124677658081,0,0,0
2020-01-02,5.346156120300293,0.6866000294685364,0.7708317637443542,5.364419937133789,0.6889700293540955,0.7710872888565063,5.317852973937988,0.6859999895095825,0.7688168287277222,5.346229076385498,0.6866999864578247,0.7707069516181946,0,0,0
2020-01-03,5.356204032897949,0.6893399953842163,0.7702379822731018,5.375645160675049,0.6918799877166748,0.7715334892272949,5.323885917663574,0.6883000135421753,0.7689882516860962,5.356222152709961,0.6893799901008606,0.7701964974403381,0,0,0
2020-01-06,5.353612899780273,0.6897100210189819,0.7700244784355164,5.37398099899292,0.6905400156974792,0.7714263200759888,5.314797878265381,0.6875,0.7699059247970581,5.353704929351807,0.6896799802780151,0.7699888944625854,0,0,0
2020-01-07,5.37395715713501,0.6889200210571289,0.7713727951049805,5.377048015594482,0.6899399757385254,0.7717835903167725,5.32335090637207,0.6881999969482422,0.7675009369850159,5.373846054077148,0.6888899803161621,0.7713609337806702,0,0,0
2020-01-08,5.33205509185791,0.6894000172615051,0.7690473794937134,5.347449779510498,0.6912500262260437,0.7706238031387329,5.301502227783203,0.6887999773025513,0.7666889429092407,5.332129001617432,0.6891999840736389,0.7691479325294495,0,0,0
2020-01-09,5.321065902709961,0.6901699900627136,0.7670770287513733,5.324284076690674,0.6905199885368347,0.767754316329956,5.283821105957031,0.6875,0.7631316184997559,5.321176052093506,0.6901500225067139,0.7671535611152649,0,0,0
2020-01-10,5.2986578941345215,0.6890000104904175,0.7655502557754517,5.305933952331543,0.6914399862289429,0.7674773335456848,5.2716450691223145,0.6884999871253967,0.7648066282272339,5.299534797668457,0.6890400052070618,0.7655560970306396,0,0,0
2020-01-13,5.262063980102539,0.6883999705314636,0.765380322933197,5.2807297706604,0.6897100210189819,0.7673419117927551,5.261484146118164,0.6876000165939331,0.7652572989463806,5.261882781982422,0.6883299946784973,0.7652924656867981,0,0,0
2020-01-14,5.273258209228516,0.687749981880188,0.765954852104187,5.276309013366699,0.6887199878692627,0.7664597034454346,5.242481231689453,0.6862000226974487,0.7646604180335999,5.273403167724609,0.6878100037574768,0.7659196853637695,0,0,0
2020-01-15,5.261427879333496,0.6876800060272217,0.7653744220733643,5.277438163757324,0.6881700158119202,0.7669888138771057,5.234958171844482,0.685699999332428,0.7646721601486206,5.261119842529297,0.6875,0.7654037475585938,0,0,0
2020-01-16,5.277029037475586,0.6875,0.7669888138771057,5.278927803039551,0.6889100074768066,0.7674008011817932,5.2411298751831055,0.6865000128746033,0.7659724950790405,5.277267932891846,0.6873999834060669,0.7669888138771057,0,0,0
2020-01-17,5.267871856689453,0.6881999969482422,0.7669299840927124,5.268616199493408,0.6905999779701233,0.767283022403717,5.23908805847168,0.6876000165939331,0.7648475766181946,5.268054008483887,0.6883000135421753,0.7668829560279846,0,0,0
2020-01-20,5.2418060302734375,0.6898699998855591,0.7654857635498047,5.254444122314453,0.6912800073623657,0.7662835717201233,5.220212936401367,0.6891999840736389,0.7649997472763062,5.241407871246338,0.6898499727249146,0.7655092477798462,0,0,0
2020-01-21,5.256319046020508,0.690500020980835,0.7665536999702454,5.283934116363525,0.6908900141716003,0.7667535543441772,5.219726085662842,0.6881999969482422,0.7646897435188293,5.256265163421631,0.6906999945640564,0.7665655016899109,0,0,0
2020-01-22,5.274884223937988,0.6898000240325928,0.764906108379364,5.287003993988037,0.691569983959198,0.7670711278915405,5.236567974090576,0.6866199970245361,0.7611276507377625,5.274901866912842,0.6898900270462036,0.7648768424987793,0,0,0
2020-01-23,5.2487711906433105,0.6857200264930725,0.7610929608345032,5.271799087524414,0.689079999923706,0.7609249353408813,5.240452766418457,0.6843000054359436,0.7592207193374634,5.248230934143066,0.6856399774551392,0.7609018683433533,0,0,0
2020-01-24,5.276208877563477,0.6888899803161621,0.7617886662483215,5.281760215759277,0.690500020980835,0.7621369957923889,5.266520023345947,0.6887000203132629,0.7604331374168396,5.276645183563232,0.6889700293540955,0.7617828249931335,0,0,0
2020-01-27,5.263857841491699,0.6891199946403503,0.7599362134933472,5.264838218688965,0.6892300248146057,0.7606876492500305,5.248635768890381,0.6871600151062012,0.757621705532074,5.263060092926025,0.6889700293540955,0.7598322629928589,0,0,0
2020-01-28,5.252374172210693,0.6880199909210205,0.7582823038101196,5.259376049041748,0.6899499893188477,0.759295642375946,5.244521141052246,0.6869000196456909,0.7572946548461914,5.252481937408447,0.6880300045013428,0.7582593560218811,0,0,0
